"Date","Retalier","xgb_predict"
2017-04-09,"ACE",3228.57666015625
2017-04-16,"ACE",3194.72875976562
2017-04-23,"ACE",3412.09887695312
2017-04-30,"ACE",3026.61669921875
2017-05-07,"ACE",3182.05908203125
2017-05-14,"ACE",3118.24731445312
2017-05-21,"ACE",3246.53076171875
2017-05-28,"ACE",3383.18310546875
2017-06-04,"ACE",3132.09814453125
2017-06-11,"ACE",3190.86743164062
2017-06-18,"ACE",3252.57592773438
2017-06-25,"ACE",3388.79614257812
2016-06-26,"ACE",2966.4130859375
2016-07-03,"ACE",3504.05029296875
2016-07-10,"ACE",2714.56298828125
2016-07-17,"ACE",3552.55322265625
2016-07-24,"ACE",3363.68090820312
2016-07-31,"ACE",3092.56640625
2016-08-07,"ACE",3394.080078125
2016-08-14,"ACE",3274.228515625
2016-08-21,"ACE",2774.16040039062
2016-08-28,"ACE",2967.13256835938
2016-09-04,"ACE",2992.16259765625
2016-09-11,"ACE",3077.658203125
2016-09-18,"ACE",3237.2333984375
2016-09-25,"ACE",2897.51245117188
2016-10-02,"ACE",3088.60961914062
2016-10-09,"ACE",3176.20947265625
2016-10-16,"ACE",3185.9296875
2016-10-23,"ACE",3214.75659179688
2016-10-30,"ACE",3143.88134765625
2016-11-06,"ACE",3120.91162109375
2016-11-13,"ACE",3155.0615234375
2016-11-20,"ACE",3160.88159179688
2016-11-27,"ACE",3135.25952148438
2016-12-04,"ACE",2715.79174804688
2016-12-11,"ACE",2198.705078125
2016-12-18,"ACE",2331.2373046875
2016-12-25,"ACE",2223.9453125
2017-01-01,"ACE",2619.0283203125
2017-01-08,"ACE",2297.92846679688
2017-01-15,"ACE",2620.77294921875
2017-01-22,"ACE",2897.84301757812
2017-01-29,"ACE",2866.17016601562
2017-02-05,"ACE",3210.73657226562
2017-02-12,"ACE",3293.19580078125
2017-02-19,"ACE",3122.931640625
2017-02-26,"ACE",3224.943359375
2017-03-05,"ACE",3203.89233398438
2017-03-12,"ACE",3430.0068359375
2017-03-19,"ACE",3237.99731445312
2017-03-26,"ACE",3378.80224609375
2017-04-02,"ACE",3124.7412109375
2017-04-09,"ACE",3107.99780273438
2017-04-16,"ACE",3192.986328125
2017-04-23,"ACE",3104.12377929688
2017-04-30,"ACE",3074.81909179688
2017-05-07,"ACE",3132.54028320312
2017-05-14,"ACE",3175.17944335938
2017-05-21,"ACE",3126.95971679688
2017-05-28,"ACE",3292.41528320312
2017-06-04,"ACE",2822.97705078125
2017-06-11,"ACE",3140.82885742188
2017-06-18,"ACE",3181.25634765625
2017-06-25,"ACE",3407.35107421875
2016-06-26,"ACE",3027.37548828125
2016-07-03,"ACE",3024.88842773438
2016-07-10,"ACE",3022.48486328125
2016-07-17,"ACE",2871.5634765625
2016-07-24,"ACE",2827.400390625
2016-07-31,"ACE",3256.60424804688
2016-08-07,"ACE",3116.55297851562
2016-08-14,"ACE",2939.22094726562
2016-08-21,"ACE",3540.58227539062
2016-08-28,"ACE",3220.43627929688
2016-09-04,"ACE",3090.67822265625
2016-09-11,"ACE",3336.22778320312
2016-09-18,"ACE",3123.84252929688
2016-09-25,"ACE",3265.34008789062
2016-10-02,"ACE",3096.9404296875
2016-10-09,"ACE",3231.53002929688
2016-10-16,"ACE",3030.85229492188
2016-10-23,"ACE",3132.69091796875
2016-10-30,"ACE",2936.5244140625
2016-11-06,"ACE",2932.42065429688
2016-11-13,"ACE",3081.12182617188
2016-11-20,"ACE",3070.65991210938
2016-11-27,"ACE",2977.29296875
2016-12-04,"ACE",2316.35693359375
2016-12-11,"ACE",3338.52954101562
2016-12-18,"ACE",2861.66259765625
2016-12-25,"ACE",2234.19360351562
2017-01-01,"ACE",2873.09033203125
2017-01-08,"ACE",2553.38916015625
2017-01-15,"ACE",2879.48388671875
2017-01-22,"ACE",2646.8369140625
2017-01-29,"ACE",3149.63354492188
2017-02-05,"ACE",3040.07397460938
2017-02-12,"ACE",3223.18139648438
2017-02-19,"ACE",2983.9697265625
2017-02-26,"ACE",3148.44262695312
2017-03-05,"ACE",3119.24829101562
2017-03-12,"ACE",3148.73828125
2017-03-19,"ACE",3166.00341796875
2017-03-26,"ACE",3184.96020507812
2017-04-02,"ACE",3090.15307617188
2017-04-09,"ACE",3250.99853515625
2017-04-16,"ACE",3087.41259765625
2017-04-23,"ACE",3141.21606445312
2017-04-30,"ACE",2854.125
2017-05-07,"ACE",3189.04833984375
2017-05-14,"ACE",3112.54907226562
2017-05-21,"ACE",3200.6484375
2017-05-28,"ACE",2992.22436523438
2017-06-04,"ACE",3041.4560546875
2017-06-11,"ACE",3317.16528320312
2017-06-18,"ACE",3163.47021484375
2017-06-25,"ACE",3158.111328125
2016-06-26,"ACE",3462.30419921875
2016-07-03,"ACE",3406.92797851562
2016-07-10,"ACE",3223.69458007812
2016-07-17,"ACE",2937.3203125
2016-07-24,"ACE",3003.12475585938
2016-07-31,"ACE",3355.85229492188
2016-08-07,"ACE",3305.427734375
2016-08-14,"ACE",3008.7421875
2016-08-21,"ACE",3245.88793945312
2016-08-28,"ACE",3064.89233398438
2016-09-04,"ACE",3053.67260742188
2016-09-11,"ACE",2939.34399414062
2016-09-18,"ACE",3008.11474609375
2016-09-25,"ACE",3327.90307617188
2016-10-02,"ACE",3007.6650390625
2016-10-09,"ACE",3141.91796875
2016-10-16,"ACE",3035.88916015625
2016-10-23,"ACE",3183.80981445312
2016-10-30,"ACE",2835.607421875
2016-11-06,"ACE",3071.39111328125
2016-11-13,"ACE",2917.81005859375
2016-11-20,"ACE",3187.53369140625
2016-11-27,"ACE",3084.98120117188
2016-12-04,"ACE",2737.689453125
2016-12-11,"ACE",2469.64575195312
2016-12-18,"ACE",2238.03369140625
2016-12-25,"ACE",1858.26904296875
2017-01-01,"ACE",2253.76928710938
2017-01-08,"ACE",3034.02954101562
2017-01-15,"ACE",1711.61474609375
2017-01-22,"ACE",2418.31494140625
2017-01-29,"ACE",2651.3671875
2017-02-05,"ACE",2721.06640625
2017-02-12,"ACE",2862.28637695312
2017-02-19,"ACE",3062.10034179688
2017-02-26,"ACE",3110.42822265625
2017-03-05,"ACE",3227.1669921875
2017-03-12,"ACE",3048.41552734375
2017-03-19,"ACE",2773.14575195312
2017-03-26,"ACE",2727.39965820312
2017-04-02,"ACE",2967.69897460938
2017-04-09,"ACE",3686.95727539062
2017-04-16,"ACE",3295.0224609375
2017-04-23,"ACE",2780.80297851562
2017-04-30,"ACE",3111.82666015625
2017-05-07,"ACE",3211.51220703125
2017-05-14,"ACE",3343.30859375
2017-05-21,"ACE",3328.11962890625
2017-05-28,"ACE",3007.11572265625
2017-06-04,"ACE",2977.595703125
2017-06-11,"ACE",3248.95776367188
2017-06-18,"ACE",3118.43115234375
2017-06-25,"ACE",3175.94897460938
2016-06-26,"ACE",3522.26245117188
2016-07-03,"ACE",3083.65307617188
2016-07-10,"ACE",3049.0234375
2016-07-17,"ACE",2990.64379882812
2016-07-24,"ACE",3154.4150390625
2016-07-31,"ACE",3112.58740234375
2016-08-07,"ACE",3123.8583984375
2016-08-14,"ACE",3111.9658203125
2016-08-21,"ACE",3088.92578125
2016-08-28,"ACE",3121.57080078125
2016-09-04,"ACE",3275.57421875
2016-09-11,"ACE",3273.76147460938
2016-09-18,"ACE",3155.41088867188
2016-09-25,"ACE",2911.88842773438
2016-10-02,"ACE",3063.49755859375
2016-10-09,"ACE",3169.96362304688
2016-10-16,"ACE",3208.69262695312
2016-10-23,"ACE",3130.81567382812
2016-10-30,"ACE",3274.81176757812
2016-11-06,"ACE",3059.18212890625
2016-11-13,"ACE",3056.42651367188
2016-11-20,"ACE",3096.60009765625
2016-11-27,"ACE",2671.2099609375
2016-12-04,"ACE",2952.76245117188
2016-12-11,"ACE",1852.47119140625
2016-12-18,"ACE",2713.04370117188
2016-12-25,"ACE",1586.10693359375
2017-01-01,"ACE",2307.54125976562
2017-01-08,"ACE",1207.283203125
2017-01-15,"ACE",2854.49755859375
2017-01-22,"ACE",2638.43920898438
2017-01-29,"ACE",2972.30590820312
2017-02-05,"ACE",2341.04150390625
2017-02-12,"ACE",2959.02416992188
2017-02-19,"ACE",3157.5498046875
2017-02-26,"ACE",3154.40258789062
2017-03-05,"ACE",3043.94799804688
2017-03-12,"ACE",3470.74291992188
2017-03-19,"ACE",2678.33227539062
2017-03-26,"ACE",3242.3271484375
2017-04-02,"ACE",3092.24462890625
2017-04-09,"ACE",3128.5810546875
2017-04-16,"ACE",3173.39575195312
2017-04-23,"ACE",3021.92529296875
2017-04-30,"ACE",3103.14184570312
2017-05-07,"ACE",3127.86962890625
2017-05-14,"ACE",3131.83715820312
2017-05-21,"ACE",3331.09057617188
2017-05-28,"ACE",3177.82080078125
2017-06-04,"ACE",3027.89770507812
2017-06-11,"ACE",3154.60302734375
2017-06-18,"ACE",3148.05517578125
2017-06-25,"ACE",3073.97021484375
2016-06-26,"ACE",2766.31494140625
2016-07-03,"ACE",2867.50952148438
2016-07-10,"ACE",2619.86206054688
2016-07-17,"ACE",2412.15502929688
2016-07-24,"ACE",2195.75708007812
2016-07-31,"ACE",1987.27954101562
2016-08-07,"ACE",2201.8203125
2016-08-14,"ACE",2725.93627929688
2016-08-21,"ACE",3047.55786132812
2016-08-28,"ACE",3047.55786132812
2016-09-04,"ACE",2477.57397460938
2016-09-11,"ACE",1856.9375
2016-09-18,"ACE",2113.91674804688
2016-09-25,"ACE",2036.43090820312
2016-10-02,"ACE",1844.39477539062
2016-10-09,"ACE",1861.12939453125
2016-10-16,"ACE",2193.89770507812
2016-10-23,"ACE",1568.54370117188
2016-10-30,"ACE",1779.50317382812
2016-11-06,"ACE",1675.1044921875
2016-11-13,"ACE",2002.94506835938
2016-11-20,"ACE",1728.7109375
2016-11-27,"ACE",3233.60888671875
2016-12-04,"ACE",1827.12927246094
2016-12-11,"ACE",598.156066894531
2016-12-18,"ACE",71.1020126342773
2016-12-25,"ACE",494.230895996094
2017-01-01,"ACE",788.551818847656
2017-01-08,"ACE",817.9072265625
2017-01-15,"ACE",244.363815307617
2017-01-22,"ACE",534.015014648438
2017-01-29,"ACE",961.164367675781
2017-02-05,"ACE",205.534317016602
2017-02-12,"ACE",3.65549635887146
2017-02-19,"ACE",464.490814208984
2017-02-26,"ACE",1537.60900878906
2017-03-05,"ACE",1011.37762451172
2017-03-12,"ACE",62.3416633605957
2017-03-19,"ACE",156.075134277344
2017-03-26,"ACE",1211.95837402344
2017-04-02,"ACE",573.487548828125
2017-04-09,"ACE",1797.22888183594
2017-04-16,"ACE",1684.82739257812
2017-04-23,"ACE",1429.73596191406
2017-04-30,"ACE",1932.32922363281
2017-05-07,"ACE",1580.68090820312
2017-05-14,"ACE",1655.96740722656
2017-05-21,"ACE",1996.19396972656
2017-05-28,"ACE",2299.90649414062
2017-06-04,"ACE",1990.40002441406
2017-06-11,"ACE",2120.73266601562
2017-06-18,"ACE",2601.21606445312
2017-06-25,"ACE",2333.625
2016-06-26,"ACE",3772.04150390625
2016-07-03,"ACE",2582.21508789062
2016-07-10,"ACE",2381.28662109375
2016-07-17,"ACE",2149.71948242188
2016-07-24,"ACE",2488.98510742188
2016-07-31,"ACE",2369.71630859375
2016-08-07,"ACE",2644.41015625
2016-08-14,"ACE",2200.35302734375
2016-08-21,"ACE",2780.86108398438
2016-08-28,"ACE",2485.46997070312
2016-09-04,"ACE",2639.55688476562
2016-09-11,"ACE",2197.185546875
2016-09-18,"ACE",2307.83447265625
2016-09-25,"ACE",2870.00927734375
2016-10-02,"ACE",1933.185546875
2016-10-09,"ACE",1896.93542480469
2016-10-16,"ACE",2307.08056640625
